event_name,location_x,location_y,x_covariance,y_covariance,residual
2022-07-14T01:44:55.000Z,-7.855259337149823,87.98958557970523,3.0028731463393035,0.059386546034517464,0.2664460071344649
2022-07-14T02:36:20.000Z,1.1610703568220602,62.400930830167496,2.7006704031315083,0.0075708626702237405,0.3361601388666152
2022-07-14T02:22:55.306Z,-22.802434593642836,39.96274738532765,4.399564879196593,1.8172880612558395,0.11548600659012405
2022-07-14T01:10:25.000Z,-48.509899885927524,5.695976561051104,84.03173862487805,14.55402751509249,0.662720666311495
2022-07-14T02:29:15.000Z,11.362703593246975,39.50329210301346,1.1650524859909828,0.014037825241989063,0.5094828410495118
2022-07-14T01:56:55.000Z,21.713525595728367,64.97516185194812,0.8149139734812529,0.04617803786650449,0.6150424647267593
2022-07-14T00:58:15.000Z,-12.731692559219638,8.108861821266059,599.1361783030661,1137.7728106007235,0.38692051559694235
2022-07-14T02:09:05.000Z,-36.22198486127412,54.98540124975671,4.475489374630725,0.013959231903782815,0.5272989825990455
2022-07-14T01:34:40.000Z,-2.993466893099808,13.211594834781692,1.048825970778474,0.0062034294579969606,0.39432520998028675
2022-07-14T02:11:45.000Z,-44.10736787602419,40.00371616515839,12.279216292404902,0.09703787695329558,0.7121322975353441
2022-07-14T01:52:55.000Z,17.482679607832246,84.78146956001441,2.7084518392112216,1.4095689545225984,0.5227769422248656
2022-07-14T02:32:30.000Z,15.935184813166392,55.89597489079486,0.7296664629739014,0.03234449236864902,0.354429247609028
2022-07-14T01:04:05.000Z,-18.16953488111524,11.714306894851553,49761.080437097735,41971.60518893339,0.9177793063756226
2022-07-14T02:05:20.000Z,-25.9804055741753,72.59282801559569,8.86797421380773,0.7702828195611408,0.6054174676642825
2022-07-14T01:42:25.000Z,-10.637349413492183,77.6192719908905,299.50893938909996,100.41346423930567,0.775591263223761
2022-07-14T02:14:20.000Z,-36.601406561022024,32.24905029229533,11.020035929614082,0.40311884598362113,0.709667965212391
2022-07-14T02:17:30.000Z,-15.726014290188415,52.193924111156534,2.4982837027489624,0.004806247049166339,0.5095295661841927
2022-07-14T02:27:35.000Z,0.5128705269993037,39.03902979637957,1.4433839777711026,0.0029962901662761196,0.36050397505768844
2022-07-14T02:34:25.000Z,6.580642397364025,59.640836559498865,2.6524703348853915,0.09752428733982244,0.6268870824809066
2022-07-14T01:49:35.000Z,7.030613189635867,83.5429414209618,0.8980555690346982,0.04883145403017918,0.3003459709923412
